epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.7819657921791077,0.8553276658058167,2212.0,2595.0,1.8829681873321533,0.7717276811599731,0.7986345291137695,8467.0,8773.0,0.5564428567886353,0.9199822545051575,1193.0,29.0,1.4358147382736206,0.8669725060462952,0.13675832748413086,1344.0,189.0
1,0.8908241391181946,0.9213044047355652,1143.0,1264.0,1.8085368871688843,0.8861876726150513,0.8959490060806274,9798.0,9842.0,0.9205081462860107,0.9356991648674011,93.0,126.0,1.2092596292495728,0.9120111465454102,0.933523952960968,1230.0,1306.0
2,0.8966299295425415,0.9286356568336487,902.0,1377.0,0.921930193901062,0.8798429369926453,0.9178880453109741,9685.0,10083.0,0.6457350254058838,0.8718647956848145,5.0,971.0,2.684072732925415,0.5890817046165466,0.9964209198951721,387.0,1392.0
3,0.9034335613250732,0.930606484413147,739.0,1390.0,1.0442023277282715,0.8805431127548218,0.9327264428138733,9672.0,10246.0,0.875136137008667,0.9434167146682739,57.0,287.0,1.636155128479004,0.822510838508606,0.9589040875434875,1081.0,1330.0
4,0.9034789204597473,0.929526150226593,833.0,1295.0,0.9698325395584106,0.8868699073791504,0.9241693019866943,9767.0,10152.0,0.8457350134849548,0.8499038815498352,11.0,414.0,0.71883225440979,0.7666290998458862,0.9919766783714294,970.0,1360.0
5,0.8918220400810242,0.9272755980491638,1026.0,1359.0,2.024729013442993,0.8799257874488831,0.9065998792648315,9703.0,9959.0,0.809800386428833,0.8621090054512024,38.0,486.0,1.9386341571807861,0.7365853786468506,0.9727988839149475,872.0,1359.0
6,0.9084682464599609,0.9327366352081299,671.0,1347.0,0.875187337398529,0.884486734867096,0.9389166831970215,9715.0,10314.0,0.5009074211120605,0.9356056451797485,1374.0,1.0,1.9722323417663574,0.0,0.0,1380.0,0.0
7,0.9083322286605835,0.9334867000579834,750.0,1271.0,0.6568711996078491,0.8895359039306641,0.9317250847816467,9791.0,10235.0,0.495099812746048,0.9207855463027954,1389.0,2.0,0.8082160353660583,0.0,0.0,1364.0,0.0
8,0.852632999420166,0.9067602157592773,856.0,2393.0,1.5496090650558472,0.8088963627815247,0.9220755696296692,8669.0,10129.0,0.905626118183136,0.9351029396057129,51.0,209.0,0.808164119720459,0.866624116897583,0.9638041257858276,1137.0,1358.0
9,0.7894044518470764,0.8742378950119019,1659.0,2984.0,1.8263872861862183,0.7575954794883728,0.8489758968353271,8078.0,9326.0,0.47731396555900574,0.5041781663894653,824.0,616.0,4.9524617195129395,0.4784081280231476,0.40676745772361755,750.0,565.0
